key,instantiationMoment,updateMoment,displayStart,displayEnd,picture,slogan,webDocument
banner-01,2022/07/28 23:00,2022/07/29 23:00,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/Ge7xQhW.png,Race your dreams,https://www.arusteam.com/
banner-02,1999/12/31 23:59,2000/12/31 23:59,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/Q88fAnd.png,We live performance,https://www.mercedesamgf1.com/
banner-03,2000/01/01 00:00,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/KwbuQWp.png,Red Bull Gives You Wings,https://www.redbull.com/cl-es/tags/f1
banner-04,2000/01/01 00:01,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/kkPZkhw.png,"Historia que tú hiciste, Historia por hacer",https://www.realmadrid.com/es-ES
banner-05,2022/07/28 23:00,2022/07/29 23:59,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/Db6th21.png,Make it better,https://www.hp.com/es-es/home.html
banner-06,2020/02/28 00:00,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/4Eb63Ci.png,Impossible is nothing,https://www.adidas.es/
banner-07,2016/01/01 00:01,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/3HMHgUy.png,The ultimate driving machine,https://www.bmw.com/es/index.html
banner-08,2016/01/01 23:59,2020/07/01 12:30,2022/07/30 00:00,2022/09/21 12:30,https://imgur.com/1X41vuE.png,Fly better!,https://www.emirates.com/es/spanish/
banner-09,2016/02/29 12:30,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/jph2CIy.png,Destapa la felicidad!,https://www.coca-cola.com/es/es
banner-10,2016/02/29 00:00,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/tniEN1x.png,Think different,https://www.apple.com/es/
banner-11,2016/02/29 00:01,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/lUjCOwo.png,Just do it,https://www.amazon.es/
banner-12,2016/02/29 23:59,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/9xOiuD2.png,"Run, don't hide!",https://www.nike.com/es/
banner-13,2017/02/28 12:30,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/KmuD5xh.png,Inventemos el futuro,https://www.repsol.com/es/index.cshtml
banner-14,2017/02/28 00:00,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/ePGQFvw.png,See what's next,https://www.netflix.com/es/
banner-15,2017/02/28 00:01,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/fRR0nvc.png,Crear una vida cotidiana mejor para muchas personas,https://www.ikea.com/es/es/
banner-16,2020/06/01 12:30,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/bROzBri.png,I'm loving it,https://mcdonalds.es/
banner-17,2020/06/01 12:30,2020/07/01 12:30,2022/07/30 00:00,2022/08/21 12:30,https://imgur.com/shC8ql9.png,A Crown For Every Achievement,https://www.rolex.com/es
banner-18,2016/06/01 12:30,2020/12/31 00:00,2022/08/05 23:59,2022/09/05 23:59,https://imgur.com/rPqeZGb.png,Ponemos energía en las cosas que nos importan,https://www.fundacioniberdrolaespana.org/
banner-19,2016/06/01 12:30,2020/12/21 00:01,2022/08/06 00:00,2022/09/06 00:00,https://imgur.com/8907sF2.png,La educación transforma,https://www.entreculturas.org/
banner-20,2016/06/01 12:30,2020/12/31 23:59,2022/08/06 00:01,2022/09/06 00:01,https://imgur.com/XGLR4T2.png,Misión y visión,https://www.faortega.org/
banner-21,2016/06/01 12:30,2020/01/01 12:30,2200/11/30 23:58,2200/12/31 23:58,https://imgur.com/BoRyqhx.png,BBVA Aprendemos Juntos 2030,https://www.fbbva.es/
